symbol,name,mint,decimals,category
SOL,Wrapped SOL,So11111111111111111111111111111111111111112,9,crypto
USDC,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,crypto
USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6,crypto
ETH,Ether (Portal),7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,8,crypto
zBTC,zBTC,zBTCug3er3tLyffELcvDNrKkCymbPWysGcWihESYfLg,8,crypto
21BTC,21.co Wrapped Bitcoin,21BTCo9hWHjGYYUQQLqjLgDBxjcn8vDt4Zic7TB3UbNE,8,crypto
cbBTC,Coinbase Wrapped BTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,8,crypto
WBTC,Wrapped BTC,5XZw2LKTyrfvfiskJ78AMpackRjPcyCif1WhUsPDuVqQ,8,crypto
JUP,Jupiter,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,crypto
RAY,Raydium,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,6,crypto
ORCA,Orca,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,6,crypto
DRIFT,Drift,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,6,crypto
PYTH,Pyth Network,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,6,crypto
W,Wormhole,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,6,crypto
KMNO,Kamino,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,6,crypto
MNDE,Marinade,MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,9,crypto
RNGR,Ranger,RNGRtJMbCveqCp7AC6U95KmrdKecFckaJZiWbPGmeta,6,crypto
JTO,JITO,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,9,crypto
TNSR,Tensor,HHoXk7WursT9DLBBhHzBWBbuQkfvvoNyHKpJi61mpump,6,crypto
RENDER,Render Token,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,8,crypto
SHDW,Shadow Token,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,9,crypto
HYPE,HYPE,98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g,9,crypto
UNI,Uniswap (Portal),8FU95xFJhUUkyyCLU13HSzDLs7oC4QZdXQHL6SCeab36,8,crypto
DYDX,dYdX (Portal),4Hx6Bj56eGyw8EJrrheM6LBQAvVYRikYCWsALeTrwyRU,8,crypto
